lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
162,52.1919716,21.0677913,16:34:42,3,3437,16:28:00,6.7,3090,02,Jeziorko Czerniakowskie
527,52.3240665,21.0567775,16:34:46,516,3448,16:30:00,4.766666666666667,1326,03,Skarbka z Gór
509,52.2537531,21.0358576,16:34:41,4,3449,16:36:00,-1.3166666666666667,1003,01,Dw.Wileński
207,52.189091,20.904272,16:34:45,3,4201,16:33:00,1.75,4283,02,Prystora
154,52.2055472,20.9719831,16:34:46,4,4237,16:22:00,12.766666666666667,4006,02,Dickensa
197,52.275887,20.953518,16:34:44,5,4245,16:36:00,-1.2666666666666666,6020,01,Perzyńskiego
117,52.2312746,21.0560913,16:34:44,4,4323,16:21:00,13.733333333333333,2253,01,pl.Przymierza
119,52.2150567,21.1013225,16:34:46,5,4328,16:18:00,16.766666666666666,2249,02,Narodowa
178,52.2018404,20.9339712,16:34:46,2,4339,16:17:00,17.766666666666666,4048,04,Popularna
181,52.284901,20.969849,16:34:45,1,4414,16:36:00,-1.25,6086,02,Klaudyny
240,52.314865,21.067049,16:34:46,2,4415,16:29:00,5.766666666666667,1524,02,Sieczna
122,52.249439,20.919271,16:34:43,6,4428,16:16:00,18.716666666666665,5106,02,Orlich Gniazd
136,52.2271506,20.9577032,16:34:44,2,5213,16:30:00,4.733333333333333,5043,05,PKP Wola (Kasprzaka)
523,52.217359,21.013948,16:34:31,14,5245,16:20:00,14.516666666666667,7006,02,Metro Politechnika
127,52.207413,20.925125,16:34:45,5,5889,16:33:00,1.75,4103,01,Płużańska
111,52.244438,20.979412,16:34:42,2,5925,16:21:00,13.7,5157,02,Esperanto
503,52.162,21.0382,16:34:46,8,5928,16:21:00,13.766666666666667,3120,01,Ursynów Płn.
111,52.232208,21.022171,16:34:44,4,5945,16:34:00,0.7333333333333333,7041,02,Muzeum Narodowe
111,52.2444,20.9791,16:34:43,3,5956,16:36:00,-1.2833333333333334,5157,02,Esperanto
518,52.23983,21.016899,16:34:44,5,5961,16:22:00,12.733333333333333,7044,01,Uniwersytet
518,52.333118,20.941647,16:34:43,2,5969,16:35:00,-0.2833333333333333,1253,02,Nowodwory
503,52.142689,21.04464,16:34:42,7,5970,16:29:00,5.7,3140,02,Stryjeńskich
111,52.24575,20.99984,16:34:45,1,5972,16:30:00,4.75,7099,01,Metro Ratusz-Arsenał
127,52.221809,20.978365,16:34:44,4,5975,16:28:00,6.733333333333333,4042,01,Białobrzeska
127,52.2430162,21.0206254,16:34:43,1,5978,16:25:00,9.716666666666667,7100,02,Browarna
105,52.227739,20.957556,16:34:29,5,6206,16:27:00,7.483333333333333,5043,01,PKP Wola (Kasprzaka)
713,52.2145,20.744488,16:34:46,1,6230,16:36:00,-1.2333333333333334,5138,01,AGRICOOP
105,52.234932,20.896749,16:34:46,1,7206,16:23:00,11.766666666666667,5049,01,Szobera
112,52.291908,21.018164,16:34:46,4,7211,16:30:00,4.766666666666667,1158,03,Bazyliańska
523,52.251717,20.912567,16:34:43,8,7229,16:16:00,18.716666666666665,5063,01,Radiowa
523,52.258469,20.898306,16:34:45,9,7303,16:22:00,12.75,5055,07,Stare Bemowo
182,52.2366066,21.1119475,16:34:46,4,7309,16:18:00,16.766666666666666,2105,03,Witolin
158,52.234745,21.035837,16:34:45,1,7328,16:32:00,2.75,7003,01,most Poniatowskiego
525,52.2082716,21.1966182,16:34:46,5,7707,16:23:00,11.766666666666667,2032,01,Międzylesie
177,52.2017811,20.8742085,16:34:46,4,7726,16:21:00,13.766666666666667,4128,01,Posag 7 Panien
150,52.314613,20.92098,16:34:45,3,777,16:33:00,1.75,6018,02,Park Młociński
710,52.1303511,21.0782326,16:34:39,2,8327,16:29:00,5.65,3423,01,Rosnowskiego
120,52.278217,21.044178,16:34:42,6,8454,16:32:00,2.7,1144,01,Cm.Bródnowski
120,52.314056,21.066664,16:34:45,7,8461,16:36:00,-1.25,1524,01,Sieczna
165,52.173346,20.99969,16:34:27,4,8502,16:33:00,1.45,3265,02,Obrzeżna
217,52.1459983,21.051295,16:34:38,3,8504,16:22:00,12.633333333333333,3142,04,Natolin Płn.
710,52.0742333,21.011325,16:34:32,4,8508,16:20:00,14.533333333333333,3464,71,Targowisko
709,52.153941,21.017923,16:34:44,4,8535,16:19:00,15.733333333333333,3013,02,Poleczki
514,52.2486433,21.2437733,16:34:41,1,8565,16:31:00,3.683333333333333,2285,03,Wola Grzybowska
507,52.238825,21.0554433,16:34:44,2,8570,16:31:00,3.7333333333333334,2138,02,Adampolska
174,52.1834038,21.0198438,16:34:42,1,8808,16:35:00,-0.3,3111,04,os.Domaniewska
512,52.2870286,21.0750841,16:34:38,3,8820,16:37:00,-2.3666666666666667,1060,02,Młodzieńcza
704,52.2153681,21.3168005,16:34:43,2,8837,16:32:00,2.716666666666667,2303,02,Hipolitowska
151,52.2357391,21.0813731,16:34:46,2,8842,16:35:00,-0.23333333333333334,2100,03,Przyczółek Grochowski
217,52.154663,21.069743,16:34:38,4,8884,16:19:00,15.633333333333333,3468,02,Św.u.Ledóchowskiej
141,52.224343,21.04352,16:34:36,5,8899,16:33:00,1.6,7076,02,Torwar
164,52.1896523,21.0608838,16:34:43,2,9220,16:19:00,15.716666666666667,3063,01,Limanowskiego
201,52.2575463,20.9321138,16:34:43,1,9226,16:33:00,1.7166666666666666,5150,02,Hala Sportowa Bemowo
