lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
174,52.173443,21.012068,13:31:00,3,8511,13:26:00,5.0,3248,03,Bełdan
709,52.0769017,21.0260983,13:31:03,429,8518,13:32:00,-0.95,3163,01,Szkolna
501,52.211068,21.021249,13:31:11,4,8520,13:30:00,1.1833333333333333,3480,51,Goworka
138,52.260604,21.100543,13:31:00,2,8522,13:29:00,2.0,1043,01,Utrata
138,52.21683,21.0157083,13:31:00,5,8523,13:27:00,4.0,7036,02,DS Riviera
174,52.2035433,21.010025,13:31:07,6,8528,13:29:00,2.1166666666666667,3229,02,Madalińskiego
148,52.149418,21.044658,13:30:54,4,8536,13:30:00,0.9,3280,02,Metro Imielin
521,52.215015,20.979785,13:31:09,4,8574,13:26:00,5.15,4004,02,Och-Teatr
160,52.318734,21.05825,13:30:57,519,8590,13:31:00,-0.05,1358,01,os.Derby III
138,52.2122065,21.019182,13:31:08,9,8804,13:28:00,3.1333333333333333,3001,01,pl.Unii Lubelskiej
520,52.2412895,21.1346151,13:31:10,6,8828,13:30:00,1.1666666666666667,2059,01,Okularowa
502,52.2188415,21.015261,13:31:12,466,8836,13:31:00,0.2,7006,12,Metro Politechnika
188,52.248548,21.084381,13:31:02,4,8855,13:28:00,3.033333333333333,2113,01,Dwernickiego
240,52.338351,21.1187368,13:31:11,3,8856,13:31:00,0.18333333333333332,1240,03,Pustelnik
500,52.2575146,20.9939066,13:31:10,5,8862,13:30:00,1.1666666666666667,7019,03,Dw.Gdański
500,52.2693723,21.0392953,13:31:10,4,8867,13:26:00,5.166666666666667,1077,02,rondo Żaba
162,52.2609581,21.0308891,13:31:14,3,8869,13:31:00,0.23333333333333334,1005,08,pl.Hallera
138,52.261223,21.054126,13:31:00,4,8870,13:31:00,0.0,1160,02,Wołomińska
140,52.3200271,21.102409,13:31:14,3,8871,13:31:00,0.23333333333333334,1352,01,Fabryczna
738,52.403539,21.196051,13:31:07,5,8873,13:13:00,18.116666666666667,1680,01,P+R Radzymin
245,52.2861356,21.0952978,13:31:07,2,8876,13:29:00,2.1166666666666667,1065,02,Klamrowa
148,52.169212,20.9790078,13:31:06,3,8880,13:27:00,4.1,4203,02,Bennetta
172,52.1974235,21.0239531,13:31:06,1,8883,13:29:00,2.1,3005,01,Park Dreszera
504,52.2111311,20.9884143,13:31:06,9,8889,13:27:00,4.1,4030,02,Banacha-Szpital
187,52.1813783,21.0691125,13:31:16,8,8890,13:32:00,-0.7333333333333333,3065,06,Sadyba
262,52.286423,21.083488,13:31:13,1,9062,13:28:00,3.216666666666667,1304,02,Potulicka
104,52.317829,21.036102,13:31:15,2,9071,13:31:00,0.25,1354,01,Echa Leśne
211,52.339863,20.940191,13:31:14,3,9074,13:29:00,2.2333333333333334,1405,01,Dzierzgońska
211,52.315529,20.961987,13:30:51,1,9076,13:30:00,0.85,1250,02,Porajów
211,52.33168,20.953159,13:31:09,012,9077,13:32:00,-0.85,1316,02,Ćwiklińskiej
104,52.334858,21.033365,13:31:15,1,9086,13:33:00,-1.75,1176,01,Brzeziny
161,52.183884,21.190523,13:30:51,1,9089,13:31:00,-0.15,2043,05,PKP Radość
201,52.2605971,20.9250683,13:31:14,2,9203,13:31:00,0.23333333333333334,5161,15,Nowe Bemowo
264,52.1678281,21.0838001,13:31:12,1,9210,13:33:00,-1.8,3044,03,Wilanów
349,52.229062,20.9144998,13:31:12,1,9215,13:28:00,3.2,5058,04,Hala Wola
133,52.355631,20.982241,13:31:12,348,9220,13:32:00,-0.8,1116,01,Choszczówka
211,52.2915455,21.0009968,13:31:15,5,9232,13:32:00,-0.75,1013,14,Żerań FSO
164,52.1457861,21.1387716,13:31:13,3,9245,13:34:00,-2.783333333333333,3159,02,Kępa Zawadowska
135,52.265106,21.041746,13:31:12,1,9318,13:30:00,1.2,1070,02,Kamienna
179,52.139652,21.056587,13:31:13,3,9325,13:31:00,0.21666666666666667,3281,02,Metro Natolin
142,52.232941,21.130243,13:31:14,1,9329,13:32:00,-0.7666666666666667,2016,01,Świecka
198,52.250507,21.22308,13:31:13,3,9332,13:30:00,1.2166666666666666,2282,05,Armii Krajowej
256,52.29216,21.049402,13:31:11,2,9337,13:30:00,1.1833333333333333,1146,03,Metro Kondratowicza
196,52.256828,21.177284,13:31:11,1,9340,13:19:00,12.183333333333334,2086,02,Rembertów-Kolonia
